audio_id,duration_sec,sample_rate,channels,bpm,lufs,spectral_centroid_mean,spectral_centroid_std,zero_crossing_rate_mean,spectral_rolloff_mean,rms_mean,rms_std,key,key_strength
01M0RFPVX85S698FK15G4BD67B,174.36,48000,2,117.45,-23.72,1928.52,1224.56,0.0828,3794.79,0.051171,0.033352,C,0.5957
01M0RHT5QBG7MD9CBDYF68TKPY,688.4,48000,2,136.0,-23.9,2018.77,1001.08,0.078,4567.0,0.055052,0.046251,F,0.5692
01M0RFPVP4DRN0N5QYQ124EVEY,312.27,48000,2,152.0,-24.05,1857.09,746.6,0.0744,4029.39,0.049713,0.050309,A,0.5666
8DDE7F1A99A0441C9A1564A6D7,239.28,48000,2,83.35,-18.63,2047.45,789.65,0.0778,4484.58,0.108965,0.057612,B,0.5482
9B845A8E8A744BCAA50705D73D,185.0,48000,2,117.45,-12.36,2687.69,1093.1,0.1015,5797.42,0.261426,0.107735,B,0.521
01M0E9X1CNR601CZY38WVQB82E,2.01,48000,2,0.0,-inf,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0
3C6F3F3C4839423DB83F7A55CD,220.75,48000,2,89.1,-17.89,1833.71,908.6,0.0693,3874.88,0.11157,0.064184,G,0.4433
DC92B30BB51D42488F02AA203F,413.11,48000,2,123.05,-16.51,2224.7,685.18,0.0921,5222.57,0.152368,0.075361,A,0.677
01M0RFPVZTW8NW05DYV61GQ7EC,307.36,48000,2,89.1,-22.36,2054.58,845.72,0.0891,4327.29,0.063003,0.042031,F,0.5072
0CF65600F4474C71B19A9926EC,235.0,48000,2,136.0,-18.83,2221.14,1045.78,0.0998,4736.78,0.078068,0.055478,B,0.5778
364CBB655E7D4A90B83A060A39,138.11,48000,2,117.45,-21.82,1455.98,966.9,0.0611,2763.7,0.06662,0.046098,A,0.5579
AA089CC166EF4DE8AA78014AD9,286.46,48000,2,89.1,-15.42,1216.92,742.77,0.0462,2629.74,0.153357,0.09089,E,0.8778
7968BA9684454DD4B1B179643E,224.0,48000,2,136.0,-14.03,1644.77,667.65,0.0666,3351.05,0.168505,0.10523,D#,0.5971
01M0RFPVN7FD6R26FDRFX77R9Z,210.39,48000,2,103.36,-21.11,937.77,394.24,0.0349,1645.24,0.076745,0.049416,D,0.7563
01M0RFPVRHY5G2H321MC6ZR7AZ,281.05,48000,2,152.0,-20.81,2093.39,744.01,0.0948,4406.07,0.091404,0.044762,A,0.7054
E1C4475B60AC4179852278CC60,305.0,48000,2,129.2,-16.46,1269.93,589.4,0.0391,2754.51,0.158565,0.065503,C,0.5633
6878BDAC7CD149C6A0AFA5ADD5,259.0,48000,2,99.38,-12.3,1838.33,916.21,0.0799,3738.2,0.213557,0.105839,A#,0.5698
