audio_id,original_filename,source_url,genre_major,vocal_presence,source_type,duration_sec,decade,artist_id,collected,qc_status,notes
01M0RFPVQ9VHGMFC40XBGPPTWQ,7cf0a50d65af6dd4d07a7dd7aae69dd1_01M0RFPVQ9VHGMFC40XBGPPTWQ.mp3,,,,normal,249.502,,unknown_01M0RFPV,yes,pending,
01M0RFPVQSC0HP4QJKKVCQYKCX,12d7299f2ad4bd182c44d1f2aa14ae17_01M0RFPVQSC0HP4QJKKVCQYKCX.mp3,,,,normal,526.341,,unknown_01M0RFPV,yes,pending,
01M0RFPVRHY5G2H321MC6ZR7AZ,3befa8983780f697b424cb71bd236663_01M0RFPVRHY5G2H321MC6ZR7AZ.mp3,,,,normal,281.051,,unknown_01M0RFPV,yes,pending,
01M0RFPVS7VN7C7RPNCZ2XYDFS,025ee64371ee3bbdf9718a473863917e_01M0RFPVS7VN7C7RPNCZ2XYDFS.mp3,,,,normal,214.738,,unknown_01M0RFPV,yes,pending,
01M0RFPVSQM6GZ0JRCMPDF9GE1,9a8eee827b10a2fa452023f0604d8fc0_01M0RFPVSQM6GZ0JRCMPDF9GE1.mp3,,,,normal,292.833,,unknown_01M0RFPV,yes,pending,
01M0RFPVT8N9F5BHQDGGGRMG21,1a2937fa68bec24406e4f4be72215ba7_01M0RFPVT8N9F5BHQDGGGRMG21.mp3,,,,normal,323.788,,unknown_01M0RFPV,yes,pending,
01M0RFPVTTSMAV6XT49PFATG84,99a58b80858394ec39e6723ac8cad6af_01M0RFPVTTSMAV6XT49PFATG84.mp3,,,,normal,159.92,,unknown_01M0RFPV,yes,pending,
01M0RFPVVA13WC4CZK46J56CAR,97e7206b4c97cb7cfb14fd835065d258_01M0RFPVVA13WC4CZK46J56CAR.mp3,,,,normal,481.733,,unknown_01M0RFPV,yes,pending,
01M0RFPVW4WCC7HFNFHE8S2J14,96cddc30e77cce73824fbccc6981ecf4_01M0RFPVW4WCC7HFNFHE8S2J14.mp3,,,,normal,217.493,,unknown_01M0RFPV,yes,pending,
01M0RFPVWPN4GTHYGPW6JVN04A,fe89968ceb9a27b7fcfdd7ecfa9dbd13_01M0RFPVWPN4GTHYGPW6JVN04A.mp3,,,,normal,242.39,,unknown_01M0RFPV,yes,pending,
01M0RFPVX85S698FK15G4BD67B,1ec5cce828b2ec2d2c42e37546af97c5_01M0RFPVX85S698FK15G4BD67B.mp3,,,,normal,174.356,,unknown_01M0RFPV,yes,pending,
01M0RFPVXNQE9WKJ0DC1JYWY0C,ea39239114993f0302929d210e897c9f_01M0RFPVXNQE9WKJ0DC1JYWY0C.mp3,,,,normal,297.653,,unknown_01M0RFPV,yes,pending,
01M0RFPVY8ZNBRSF3M6KVT1TY2,61b663c9b13898ba8ad5bcf34e5a7ec6_01M0RFPVY8ZNBRSF3M6KVT1TY2.mp3,,,,normal,134.893,,unknown_01M0RFPV,yes,pending,
01M0RFPVZ0G44ST7R8JY1PQDT3,def1682280c4ea113494be711008efdf_01M0RFPVZ0G44ST7R8JY1PQDT3.mp3,,,,normal,443.794,,unknown_01M0RFPV,yes,pending,
01M0RFPVZTW8NW05DYV61GQ7EC,2c73fd2ea868123aeaa27f657146bf51_01M0RFPVZTW8NW05DYV61GQ7EC.mp3,,,,normal,307.36,,unknown_01M0RFPV,yes,pending,
01M0RHT5QBG7MD9CBDYF68TKPY,1f288a3aa7005c402657c930677e9cc0_01M0RHT5QBG7MD9CBDYF68TKPY.mp3,,,,normal,688.4,,unknown_01M0RHT5,yes,pending,
